cntry,Country_Name,Country_Highlight,Age_Group,Political_Spectrum,Avg_Immigration,n,Intensidad
NL,Países Bajos,Resto de Europa,Boomers+ (59+),Izquierda (0-3),6.3340236007904505,119,Positivo
NL,Países Bajos,Resto de Europa,Boomers+ (59+),Centro (4-6),5.627657703135139,319,Neutral
NL,Países Bajos,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.359401285572794,155,Neutral
NO,Noruega,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.733994315865924,44,Positivo
NO,Noruega,Resto de Europa,Gen Z (<27),Centro (4-6),5.954101752210376,87,Neutral
NO,Noruega,Resto de Europa,Gen Z (<27),Derecha (7-10),5.7828037910085746,58,Neutral
NO,Noruega,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.156597041953357,88,Muy positivo
NO,Noruega,Resto de Europa,Millennials (27-42),Centro (4-6),6.479564751410169,132,Positivo
NO,Noruega,Resto de Europa,Millennials (27-42),Derecha (7-10),6.0565173410108555,83,Positivo
NO,Noruega,Resto de Europa,Gen X (43-58),Izquierda (0-3),7.2664084459855225,84,Muy positivo
NO,Noruega,Resto de Europa,Gen X (43-58),Centro (4-6),6.142808185942202,141,Positivo
NO,Noruega,Resto de Europa,Gen X (43-58),Derecha (7-10),6.003415561453001,142,Positivo
NO,Noruega,Resto de Europa,Boomers+ (59+),Izquierda (0-3),6.5531690353850305,130,Positivo
NO,Noruega,Resto de Europa,Boomers+ (59+),Centro (4-6),5.8768728924041405,169,Neutral
NO,Noruega,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.380062531120564,128,Neutral
